artista,track,playcount,listeners
La Fuga,Buscando en la basura,199170,29976
La Fuga,Por verte sonreir,89355,15722
La Fuga,Majareta,74734,13684
La Fuga,Abril,56925,11206
La Fuga,Luna de miel,50040,10732
La Fuga,Amor de contenedor,48457,10433
La Fuga,Las olas,46807,9768
La Fuga,Mendigo,40272,9491
La Fuga,Jaleo,53677,9004
La Fuga,En vela,55235,8872
La Fuga,Balada del despertador,44124,8797
La Fuga,El manual,42663,8794
La Fuga,Trampas al sol,57938,8791
La Fuga,Madrid,43054,8672
La Fuga,"P' aqui, p' alla",38649,8414
La Fuga,Hasta nunca,42497,8222
La Fuga,P'aquí p'allá,46730,8079
La Fuga,Gigante,33441,7445
La Fuga,Al amanecer,30845,7400
La Fuga,No solo respirar,42783,7078
La Fuga,A golpes,28757,6779
La Fuga,Despacito,31616,6758
La Fuga,Miguel,29785,6643
La Fuga,Heroina,24036,6306
La Fuga,Sueños de papel,35411,6153
La Fuga,Malos Pensamientos,31861,5624
La Fuga,Pa volar,26371,5563
La Fuga,Por verte sonreír,33207,5543
La Fuga,P'aqui P'alla,22726,5522
La Fuga,Nunca mais,32819,5492
La Fuga,Primavera del 87,20987,5361
La Fuga,Cinco minutos,21913,5247
La Fuga,Baja por diversión,33153,5199
La Fuga,A deshora,19889,5099
La Fuga,Los de siempre,22700,5082
La Fuga,Los lunes de octubre,27298,4900
La Fuga,Los Molinos,27939,4885
La Fuga,Baja Por Diversion,18797,4875
La Fuga,Mundo enfermo,16312,4762
La Fuga,Vientos del sur,17097,4719
La Fuga,Un rayito de sol,16555,4573
La Fuga,Mal humor,15447,4428
La Fuga,Mira,15545,4281
La Fuga,Idiota,14835,4232
La Fuga,Versos para ti,16207,4218
La Fuga,"Conversacion, habitacion",16752,4168
La Fuga,Pierdo verticalidad,14600,4046
La Fuga,"P' aquí, p' allá",19966,3959
La Fuga,Barrio gris,13467,3872
La Fuga,Las musas,19336,3861
Fito y fitipaldis,Por la boca vive el pez,431964,60410
Fito y fitipaldis,Soldadito marinero,313631,51164
Fito y fitipaldis,Antes de que cuente diez,315901,43393
Fito y fitipaldis,La Casa Por El Tejado,270599,39812
Fito y fitipaldis,Me equivocaría otra vez,155534,21674
Fito y fitipaldis,Acabo de llegar,113305,20358
Fito y fitipaldis,Rojitas las orejas,92984,18648
Fito y fitipaldis,Entre la espada y la pared,97189,17258
Fito y fitipaldis,Me Equivocaria Otra Vez,59969,14011
Fito y fitipaldis,Me Acorde De Ti,56492,13200
Fito y fitipaldis,Un Buen Castigo,68983,13190
Fito y fitipaldis,Las Nubes De Tu Pelo,62592,12592
Fito y fitipaldis,Lo que sobra de mí,66918,12585
Fito y fitipaldis,Whisky Barato,52162,11298
Fito y fitipaldis,Me acordé de ti,64001,11095
Fito y fitipaldis,Catorce Vidas Son Dos Gatos,51525,11050
Fito y fitipaldis,Los Huesos De Los Besos,42644,10739
Fito y fitipaldis,Tarde o temprano,40074,10280
Fito y fitipaldis,Viene y va,44447,10255
Fito y fitipaldis,Garabatos,55206,10228
Fito y fitipaldis,Todo A Cien,31135,8001
Fito y fitipaldis,Donde todo empieza,29123,7209
Fito y fitipaldis,Como pollo sin cabeza,26341,7188
Fito y fitipaldis,Cielo hermético,39968,7123
Fito y fitipaldis,Siempre Estoy Soñando,29582,7079
Fito y fitipaldis,Sobra la luz,24388,6645
Fito y fitipaldis,Abrazado a la tristeza,21969,6459
Fito y fitipaldis,A la luna se le ve el ombligo,25587,6094
Fito y fitipaldis,Entre dos mares,32004,6009
Fito y fitipaldis,Deltoya,20828,5955
Fito y fitipaldis,Quiero beber hasta perder el control,21258,5792
Fito y fitipaldis,Pájaros disecados,27339,5768
Fito y fitipaldis,Feo,20716,5576
Fito y fitipaldis,Trozos de cristal (feat. Robe),27645,5476
Fito y fitipaldis,Para Toda La Vida,21501,5375
Fito y fitipaldis,Mirando al cielo,21285,5289
Fito y fitipaldis,Que Me Arrastre El Viento,16820,5250
Fito y fitipaldis,Conozco Un Lugar,17164,5197
Fito y fitipaldis,Trozos de cristal,20784,4996
Fito y fitipaldis,El Ojo Que Me Mira,18294,4957
Fito y fitipaldis,214 Sullivan Street,14008,4689
Fito y fitipaldis,Corazon Oxidado,16606,4480
Fito y fitipaldis,A quemarropa,27587,4437
Fito y fitipaldis,Que Necesario Es El Rock&roll,13055,4437
Fito y fitipaldis,Quiero Ser Una Estrella,13825,4278
Fito y fitipaldis,Nos ocupamos del mar,17201,4197
Fito y fitipaldis,Nada Que Decir,12576,4140
Fito y fitipaldis,Cada vez cadáver,21002,4064
Fito y fitipaldis,La Cuisine De Bernard,11146,3997
Fito y fitipaldis,No soy Bo Diddley,10714,3798
Billie Eilish,BIRDS OF A FEATHER,55575321,2224265
Billie Eilish,bad guy,20358266,1667583
Billie Eilish,WILDFLOWER,36153716,1639611
Billie Eilish,when the party's over,22259778,1614951
Billie Eilish,LUNCH,27880736,1584980
Billie Eilish,Happier Than Ever,29134805,1552343
Billie Eilish,CHIHIRO,32063597,1543030
Billie Eilish,ocean eyes,18461777,1528589
Billie Eilish,lovely (with Khalid),18216684,1503985
Billie Eilish,everything i wanted,21754553,1460477
Billie Eilish,"What Was I Made For? [From the Motion Picture ""Barbie""]",20553072,1354956
Billie Eilish,i love you,19047508,1246725
Billie Eilish,idontwannabeyouanymore,15206836,1220683
Billie Eilish,bellyache,14262320,1192699
Billie Eilish,TV,18731076,1176232
Billie Eilish,you should see me in a crown,12534743,1150807
Billie Eilish,bury a friend,12927708,1111783
Billie Eilish,wish you were gay,12097806,1046573
Billie Eilish,Bored,12172090,1041780
Billie Eilish,THE GREATEST,18371455,1025403
Billie Eilish,Billie Bossa Nova,15346728,1015549
Billie Eilish,L’AMOUR DE MA VIE,16830188,1012500
Billie Eilish,all the good girls go to hell,10467578,1008944
Billie Eilish,SKINNY,14692624,1006476
Billie Eilish,Therefore I Am,11371625,1002647
Billie Eilish,BLUE,15398032,987432
Billie Eilish,listen before i go,13245354,982054
Billie Eilish,my strange addiction,10389885,981989
Billie Eilish,watch,11185956,930426
Billie Eilish,My Future,12428739,929785
Billie Eilish,hotline (edit),9663985,928107
Billie Eilish,THE DINER,13753789,918399
Billie Eilish,ilomilo,11243254,880711
Billie Eilish,Halley's Comet,13871627,879966
Billie Eilish,No Time to Die,9586105,847725
Billie Eilish,xanny,9205905,843998
Billie Eilish,I Didn't Change My Number,10563701,828377
Billie Eilish,NDA,12169227,817654
Billie Eilish,BITTERSUITE,11859160,813408
Billie Eilish,my boy,7975910,812113
Billie Eilish,Getting Older,10352307,810017
Billie Eilish,Your Power,10561229,805720
Billie Eilish,COPYCAT,7144135,785466
Billie Eilish,Lost Cause,9636484,753010
Billie Eilish,bitches broken hearts,9083258,739851
Billie Eilish,Oxytocin,9601219,710817
Billie Eilish,hostage,7611946,698560
Billie Eilish,Male Fantasy,10051357,656248
Billie Eilish,goodbye,6348974,653820
Billie Eilish,8,6231759,639585
Love of Lesbian,Club de fans de John Boy,546863,57454
Love of Lesbian,Alli donde soliamos gritar,268905,32713
Love of Lesbian,La Niña Imantada,279005,31905
Love of Lesbian,Lucha de Gigantes,225939,31824
Love of Lesbian,Incendios de nieve,278000,27995
Love of Lesbian,Allí donde solíamos gritar,307129,26886
Love of Lesbian,1999,295375,26463
Love of Lesbian,Maniobras de escapismo,157774,26414
Love of Lesbian,Universos Infinitos,232410,25651
Love of Lesbian,Las malas lenguas,220875,24269
Love of Lesbian,Algunas Plantas,210667,23717
Love of Lesbian,Noches Reversibles,230615,23177
Love of Lesbian,Me Amo,194116,22973
Love of Lesbian,Segundo asalto,221892,22100
Love of Lesbian,Me llaman Octubre,106705,21222
Love of Lesbian,Los niños del mañana,92032,20829
Love of Lesbian,Un Día En El Parque,177257,20152
Love of Lesbian,Cuestiones de familia,162917,19300
Love of Lesbian,Miau,141336,17314
Love of Lesbian,Los Colores De Una Sombra,152957,17001
Love of Lesbian,Fantastic Shine,89569,16981
Love of Lesbian,Belice,167712,16762
Love of Lesbian,Cuando diga ya,123634,16405
Love of Lesbian,Mi personalidad,84090,16134
Love of Lesbian,La mirada de la gente que conspira,122946,15821
